Date,Security Code,ISIN No,Issuer Name,Coupon(%),Maturity Date,LTP,Weighted Average- Price,Weighted Average- Yield,Turnover in Lakhs,No.Of Trades,
29 May 2020,699NHAI35,INE906B07IC4,NATIONAL HIGHWAYS AUTHORITY OF INDIA,6.9900,28/05/2035,100.1000,100.0200,6.9900,4510.00,3,,,
28 Apr 2020,735NHAI30,INE906B07HP8,NATIONAL HIGHWAYS AUTHORITY OF INDIA,7.3500,28/04/2030,100.0000,100.0000,7.3500,1010.00,1,,,
06 May 2020,748NHAI50,INE906B07HM5,NATIONAL HIGHWAYS AUTHORITY OF INDIA,7.4800,06/03/2050,101.4923,100.2500,7.4600,11800.00,6,,,
24 Mar 2020,727NHAI2035,INE906B07HL7,NATIONAL HIGHWAYS AUTHORITY OF INDIA,7.2700,24/02/2035,99.5000,99.6000,7.3800,130.00,4,,,
27 May 2020,754NHAOI30,INE906B07HK9,NATIONAL HIGHWAYS AUTHORITY OF INDIA,7.5400,27/01/2030,104.5300,101.1300,7.3700,70.00,3,,,
17 Apr 2020,770NHA29,INE906B07HH5,NATIONAL HIGHWAYS AUTHORITY OF INDIA,7.7000,13/09/2029,101.3400,102.4200,7.3200,4500.00,5,,,
19 Mar 2020,792NHAI29,INE906B07HE2,NATIONAL HIGHWAYS AUTHORITY OF INDIA,7.9200,06/06/2029,102.5768,102.5800,7.5100,250.00,3,,,
28 Apr 2020,827NHA29,INE906B07GP0,NATIONAL HIGHWAYS AUTHORITY OF INDIA,8.2700,28/03/2029,106.3465,106.5300,7.2500,700.00,2,,,
13 Mar 2020,769NHAI31,INE906B07EP5,NATIONAL HIGHWAY AUTHORITY OF INDIA,7.6900,09/03/2031,117.0031,116.3700,5.4500,33.60,3,,,
22 Apr 2020,739NHAI31A,INE906B07EO8,NATIONAL HIGHWAY AUTHORITY OF INDIA,7.3900,09/03/2031,116.5292,114.7500,5.5600,1811.71,18,,,
04 Mar 2020,739NHAI31,INE906B07EL4,NATIONAL HIGHWAY AUTHORITY OF INDIA,7.3900,18/02/2031,116.5661,114.4800,5.5900,640.00,4,,,
24 Mar 2020,76NHAI31,INE906B07EJ8,NATIONAL HIGHWAY AUTHORITY OF INDIA,7.6000,11/01/2031,113.8145,114.1600,5.5700,19.00,4,,,
27 May 2020,735NHAI2031,INE906B07EI0,NATIONAL HIGHWAY AUTHORITY OF INDIA,7.3500,11/01/2031,121.6525,116.1000,5.3500,5131.41,49,,,
27 May 2020,728NHAI2030,INE906B07EF6,NATIONAL HIGHWAY AUTHORITY OF INDIA,7.2800,18/09/2030,120.6920,113.4500,5.5500,14260.00,53,,,
19 Mar 2020,850NHAI2029,INE906B07DE1,NATIONAL HIGHWAYS AUTHORITY OF INDIA,8.5000,05/02/2029,121.4000,118.5400,5.8700,700.00,4,,,
27 Apr 2020,827NHAI2024,INE906B07DC5,NATIONAL HIGHWAYS AUTHORITY OF INDIA,8.2700,05/02/2024,110.4220,110.4200,5.1600,1500.00,3,,,
12 May 2020,835NHAI23,INE906B07DA9,NATIONAL HIGHWAYS AUTHORITY OF INDIA,8.3500,22/11/2023,110.3435,110.3400,5.0800,500.00,1,,,
15 Apr 2020,830NHAI27,INE906B07CB9,NATIONAL HIGHWAYS AUTHORITY OF INDIA,8.3000,25/01/2027,115.7584,115.7300,5.4800,1980.52,8,,,
11 May 2020,820NHAI22,INE906B07CA1,NATIONAL HIGHWAYS AUTHORITY OF INDIA,8.2000,25/01/2022,104.9883,104.2900,5.6700,4439.01,15,,,
29 May 2020,920ICFL21,INE896L07587,INDOSTAR CAPITAL FINANCE LIMITED,9.2000,15/06/2021,97.6280,97.6300,11.3000,2000.00,1,,,
06 May 2020,7.35TATA2020,INE895D08857,TATA SONS LIMITED,7.3500,28/08/2020,100.0890,100.0600,6.8000,6000.00,3,,,
02 Mar 2020,808AFL27,INE891K08059,AXIS FINANCE LIMITED,8.0800,14/09/2027,102.2500,102.2500,7.6600,10.00,1,,,
30 Apr 2020,0AXISFIN22,INE891K07507,AXIS FINANCE LIMITED,0.0000,03/11/2022,102.6010,102.6900,7.8100,60.00,2,,,
22 Apr 2020,00AFL22A,INE891K07499,AXIS FINANCE LIMITED,0.0000,03/08/2022,106.5942,106.5900,7.9000,80.00,1,,,
20 Feb 2020,970JODHPURVVN31,INE886F08034,JODHPUR VIDYUT VITRAN NIGAM LIMITED,9.7000,30/03/2031,99.9000,99.9000,9.9500,1283.00,2,,,
21 May 2020,0IIFLNOV21,INE866I08337,INDIA INFOLINE FINANCE LIMITED,0.0000,22/11/2021,103.5797,102.2000,9.0000,12970.00,107,,,
12 May 2020,0IIFLAUG28,INE866I08253,INDIA INFOLINE FINANCE LIMITED,0.0000,25/08/2028,110.6371,109.4600,10.7500,4080.00,6,,,
07 Apr 2020,00IIFL20A,INE866I07BS6,INDIA INFOLINE FINANCE LIMITED,0.0000,27/04/2020,114.4791,114.3200,9.6000,4140.00,22,,,
